ROUTE ID,DIRECTION,TRIP ID,TRAIN ID,UNIX DATETIME,DATE TIME,STOP ID,STOP NAME,UPDATE TYPE
Q,N,051850_Q..N16R,1Q 0838+ STL/962,1709042892,2024-02-27 09:08:12,D24N,Atlantic Av - Barclays Ctr,4
Q,N,054100_Q..N16R,1Q 0901 STL/962,1709042892,2024-02-27 09:08:12,D40N,Brighton Beach,4
Q,N,048700_Q..N16R,1Q 0807 STL/962,1709042902,2024-02-27 09:08:22,R16N,Times Sq - 42 St,4
Q,N,049300_Q..N16R,1Q 0813 STL/962,1709042922,2024-02-27 09:08:42,R17N,34 St - Herald Sq,4
Q,N,047950_Q..N16R,1Q 0759+ STL/962,1709042928,2024-02-27 09:08:48,R14N,57 St - 7 Av,4
Q,N,053350_Q..N16R,1Q 0853+ STL/962,1709042928,2024-02-27 09:08:48,D34N,Avenue M,4
Q,N,047350_Q..N16R,1Q 0753+ STL/962,1709042962,2024-02-27 09:09:22,Q03N,72 St,4
Q,N,052600_Q..N16R,1Q 0846 STL/962,1709042962,2024-02-27 09:09:22,D30N,Cortelyou Rd,4
Q,N,054100_Q..N16R,1Q 0901 STL/962,1709043000,2024-02-27 09:10:00,D39N,Sheepshead Bay,4
Q,N,052600_Q..N16R,1Q 0846 STL/962,1709043000,2024-02-27 09:10:00,D29N,Beverley Rd,4
Q,N,049300_Q..N16R,1Q 0813 STL/962,1709043020,2024-02-27 09:10:20,R16N,Times Sq - 42 St,4
Q,N,051850_Q..N16R,1Q 0838+ STL/962,1709043047,2024-02-27 09:10:47,R30N,DeKalb Av,4
